System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
M4 V69,48.188,17.01,none,0.7665 ± 0.0053,0.8655 ± 0.0097,4.444 ± 0.132,3.784 ± 0.009,-0.036 ± 0.036,-1.2,,,0.9,none,0.7278 ± 0.0048,0.8074 ± 0.0080,4.483 ± 0.119,3.772 ± 0.010,-0.146 ± 0.041,± 0.1,
1SWASP J093010.78+533859.5,1.306,9.84,K1_V,0.766 ± 0.014,0.757 ± 0.008,4.564 ± 0.012,3.699 ± 0.017,-0.49 ± 0.07,,,,0.88,K5_V,0.644 ± 0.012,0.743 ± 0.010,4.505 ± 0.014,3.627 ± 0.021,-0.80 ± 0.08,,
V404 CMa,0.452,17.45,none,0.733 ± 0.005,0.72 ± 0.01,4.608 ± 0.012,3.623 ± 0.010,-0.867 ± 0.044,,,,1.17,none,0.662 ± 0.005,0.68 ± 0.02,4.614 ± 0.025,3.596 ± 0.012,-1.028 ± 0.054,,
M55 V54,9.269,18.3,none,0.726 ± 0.015,1.006 ± 0.009,4.294 ± 0.010,3.796 ± 0.005,0.140 ± 0.021,-1.86,,,0.56,none,0.555 ± 0.008,0.528 ± 0.005,4.737 ± 0.010,3.701 ± 0.008,-0.799 ± 0.033,± 0.15,
ASAS J082552-1622.8,1.528,11.45,K7_V,0.7029 ± 0.0045,0.694 ± 0.009,4.600 ± 0.016,3.624 ± 0.021,-0.808 ± 0.082,,,,1.16,M0_V,0.6872 ± 0.0049,0.699 ± 0.013,4.585 ± 0.016,3.611 ± 0.021,-0.909 ± 0.087,,
NSVS 10653195,0.561,12.5,K6_V,0.6402 ± 0.0052,0.687 ± 0.021,4.570 ± 0.027,3.628 ± 0.010,-0.863 ± 0.050,,,,1.17,K7_V,0.6511 ± 0.0052,0.672 ± 0.020,4.597 ± 0.027,3.613 ± 0.012,-0.939 ± 0.055,,
GU Boo,0.489,13.7,M1_V,0.610 ± 0.007,0.623 ± 0.016,4.634 ± 0.023,3.593 ± 0.014,-1.09 ± 0.06,,,,1.5,M1_V,0.599 ± 0.006,0.620 ± 0.020,4.630 ± 0.028,3.581 ± 0.015,-1.14 ± 0.08,,
YY Gem,0.814,9.07,M1_Ve,0.5975 ± 0.0047,0.6196 ± 0.0057,4.630 ± 0.008,3.582 ± 0.011,-1.134 ± 0.009,,,,1.49,M1_Ve,0.6009 ± 0.0047,0.6036 ± 0.0057,4.655 ± 0.051,3.582 ± 0.011,-1.134 ± 0.009,,
LP 819-72,11,10.54,K5_V,0.59 ± 0.02,0.60 ± 0.01,4.65 ± 0.02,3.605 ± 0.006,-1.07 ± 0.03,,,,1.76,K5_V,0.65 ± 0.02,0.58 ± 0.01,4.72 ± 0.02,3.626 ± 0.006,-1.01 ± 0.03,,
MG1-506664,1.548,16,M1_V,0.584 ± 0.002,0.560 ± 0.005,4.708 ± 0.008,3.572 ± 0.012,-1.26 ± 0.05,,,,1.4,M2_V,0.544 ± 0.002,0.513 ± 0.008,4.753 ± 0.013,3.558 ± 0.012,-1.40 ± 0.05,,
MG1-116309,0.827,16.1,K8_V,0.567 ± 0.002,0.552 ± 0.013,4.708 ± 0.020,3.593 ± 0.011,-1.19 ± 0.04,,,,1.4,M0_V,0.532 ± 0.002,0.532 ± 0.009,4.712 ± 0.015,3.581 ± 0.011,-1.27 ± 0.05,,
MG1-78457,1.586,17.7,M3_V,0.527 ± 0.002,0.505 ± 0.011,4.753 ± 0.019,3.522 ± 0.013,-1.55 ± 0.05,,,,1.5,M4_V,0.491 ± 0.002,0.471 ± 0.012,4.783 ± 0.022,3.515 ± 0.013,-1.64 ± 0.05,,
MG1-646680,1.638,17.3,M1_V,0.499 ± 0.002,0.457 ± 0.007,4.816 ± 0.013,3.572 ± 0.006,-1.44 ± 0.03,,,,1.4,M2_V,0.443 ± 0.002,0.427 ± 0.006,4.824 ± 0.013,3.560 ± 0.006,-1.55 ± 0.03,,
THOR 42,0.859,15.17,M3.5,0.497 ± 0.005,0.659 ± 0.003,4.496 ± 0.003,3.518 ± 0.003,-1.337 ± 0.013,,,,1.53,none,0.205 ± 0.002,0.424 ± 0.002,4.496 ± 0.004,3.478 ± 0.003,-1.879 ± 0.013,,
MG1-2056316,1.722,16.2,M2_V,0.469 ± 0.002,0.441 ± 0.003,4.820 ± 0.006,3.539 ± 0.022,-1.60 ± 0.09,,,,1.5,M3_V,0.382 ± 0.002,0.374 ± 0.003,4.874 ± 0.007,3.521 ± 0.022,-1.82 ± 0.09,,
HAT-TR-318-007,3.343,16.13,M4_V,0.448 ± 0.001,0.4548 ± 0.0036,4.7740 ± 0.0057,3.504 ± 0.015,-1.715 ± 0.060,+0.30,,,1.32,M5_V,0.2721 ± 0.0042,0.2913 ± 0.0024,4.9442 ± 0.0039,3.491 ± 0.015,-2.151 ± 0.062,± 0.11,
CU Cnc,2.771,11.89,M3.5_Ve,0.4333 ± 0.0017,0.4317 ± 0.0052,4.804 ± 0.011,3.500 ± 0.021,-1.778 ± 0.083,,,,1.4,M3.5_Ve,0.3980 ± 0.0014,0.3908 ± 0.0094,4.854 ± 0.021,3.495 ± 0.021,-1.884 ± 0.086,,
NGTS 0002-29,1.098,17.64,M,0.3978 ± 0.0033,0.4037 ± 0.0048,4.826 ± 0.010,3.528 ± 0.005,-1.72 ± 0.02,+0.04,,,1.28,M,0.2245 ± 0.0018,0.2759 ± 0.0055,4.908 ± 0.017,3.509 ± 0.006,-2.12 ± 0.03,± 0.04,
PTFEB 132.707+19.810,6.016,17.89,M3.5_V,0.3953 ± 0.0020,0.363 ± 0.008,4.915 ± 0.019,3.513 ± 0.012,-1.863 ± 0.032,+0.14,,,1.66,M4.3_V,0.2098 ± 0.0014,0.272 ± 0.012,4.891 ± 0.039,3.494 ± 0.015,-2.30 ± 0.13,± 0.04,
LSPM J1112+7626,41.033,14.85,M4_V,0.3946 ± 0.0023,0.3860 ± 0.0054,4.861 ± 0.012,3.486 ± 0.024,-1.92 ± 0.08,,,,1.49,none,0.2745 ± 0.0012,0.2978 ± 0.0048,4.929 ± 0.014,3.470 ± 0.023,-2.21 ± 0.09,,
UScoCTIO 5,34.001,16.19,M4.5_V,0.3393 ± 0.0020,0.8733 ± 0.0024,4.0859 ± 0.0021,3.515 ± 0.013,-1.105 ± 0.053,,,,1.62,M4.5_V,0.3263 ± 0.0020,0.8376 ± 0.0024,4.1053 ± 0.0021,3.513 ± 0.013,-1.146 ± 0.059,,
KOI-126 BC,1.722,-1,M,0.2352 ± 0.0006,0.2545 ± 0.0008,4.998 ± 0.003,3.510 ± 0.005,-2.194 ± 0.020,0.15,,,-1,M,0.2073 ± 0.0006,0.2315 ± 0.0007,5.026 ± 0.003,3.501 ± 0.005,-2.312 ± 0.020,± 0.08,
CM Dra,1.268,12.9,M4.5_V,0.2310 ± 0.0009,0.2534 ± 0.0019,4.994 ± 0.007,3.496 ± 0.010,-2.258 ± 0.038,-0.30,,,1.6,M4.5_V,0.2141 ± 0.0009,0.2396 ± 0.0015,5.009 ± 0.006,3.494 ± 0.014,-2.313 ± 0.056,± 0.12,
NGTS J052218.2-250710.4,1.748,16.88,M5_V,0.1739 ± 0.0013,0.2045 ± 0.0048,5.057 ± 0.021,3.476 ± 0.014,,,,,1.49,M5_V,0.1742 ± 0.0013,0.2168 ± 0.0048,5.007 ± 0.020,3.477 ± 0.012,,,
EPIC 203710387,2.809,14.3,M4.5V,0.1158 ± 0.0031,0.4317 ± 0.0055,4.231 ± 0.010,3.483 ± 0.011,-1.842 ± 0.047,,,,1.8,M5V,0.1056 ± 0.0027,0.4236 ± 0.0056,4.207 ± 0.010,3.483 ± 0.011,-1.861 ± 0.047,,
