System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
OGLE-LMC-ECL-05430,505.183,16.61,G9_III,2.717 ± 0.017,28.99 ± 0.36,1.948 ± 0.011,3.673 ± 0.006,2.572 ± 0.028,-0.37,,,1.2,G9_III,3.374 ± 0.018,34.64 ± 0.28,1.887 ± 0.007,3.678 ± 0.006,2.744 ± 0.025,± 0.10,
OGLE-SMC-ECL-0727,316.572,18.11,G3_III,2.68 ± 0.04,14.6 ± 0.2,2.53 ± 0.01,3.724 ± 0.008,2.182 ± 0.034,-0.89,,,1.04,G8_III,2.57 ± 0.04,20.4 ± 0.3,2.23 ± 0.01,3.684 ± 0.008,2.310 ± 0.034,± 0.08,
HD 96609,8.192,8.61,B9,2.66 ± 0.02,2.740 ± 0.006,3.987 ± 0.001,3.985 ± 0.011,1.76 ± 0.04,0.02,,,0.02,none,1.84 ± 0.01,1.697 ± 0.005,4.243 ± 0.002,3.952 ± 0.012,1.22 ± 0.04,± 0.06,
V4089 Sgr,4.627,6,A2_IV,2.584 ± 0.012,3.964 ± 0.020,3.654 ± 0.005,3.926 ± 0.005,,,,,0.09,A3_V,1.607 ± 0.008,1.605 ± 0.007,4.233 ± 0.004,3.867 ± 0.006,,,
OGLE-SMC-ECL-1859,75.544,17.69,G0_III,2.58 ± 0.03,16.2 ± 0.3,2.43 ± 0.02,3.744 ± 0.008,2.350 ± 0.035,-0.21,,,0.92,G7_III,2.48 ± 0.02,18.7 ± 0.3,2.29 ± 0.01,3.695 ± 0.009,2.276 ± 0.037,± 0.22,
OGLE-SMC-ECL-2876,120.867,17.49,G0_III,2.56 ± 0.04,16.5 ± 0.4,2.41 ± 0.02,3.745 ± 0.008,2.371 ± 0.037,-0.43,,,0.5,G4_III,2.51 ± 0.03,17.3 ± 0.4,2.36 ± 0.02,3.712 ± 0.008,2.279 ± 0.034,± 0.08,
AR Aur,4.135,6.17,B9_V,2.544 ± 0.009,1.799 ± 0.013,4.333 ± 0.008,4.039 ± 0.012,1.61 ± 0.05,,,,0.04,B9_V,2.358 ± 0.008,1.834 ± 0.019,4.284 ± 0.010,4.015 ± 0.013,1.53 ± 0.05,,
WX Cep,3.378,9.03,A2_V,2.539 ± 0.050,3.994 ± 0.030,3.640 ± 0.011,3.911 ± 0.012,1.80 ± 0.05,,,,0.11,A5_V,2.329 ± 0.045,2.711 ± 0.023,3.939 ± 0.011,3.949 ± 0.012,1.62 ± 0.05,,
TZ Men,8.57,6.19,A0_V,2.487 ± 0.025,2.016 ± 0.020,4.225 ± 0.011,4.017 ± 0.017,1.63 ± 0.07,,,,-0.06,A8_V,1.504 ± 0.010,1.432 ± 0.015,4.303 ± 0.009,3.857 ± 0.018,0.69 ± 0.07,,
V1031 Ori,3.406,6.02,A3_V,2.473 ± 0.018,4.321 ± 0.034,3.560 ± 0.008,3.895 ± 0.028,1.80 ± 0.11,,,,0.18,A6_V,2.286 ± 0.016,2.977 ± 0.064,3.850 ± 0.019,3.924 ± 0.026,1.60 ± 0.11,,
OGLE-SMC-ECL-2761,150.364,17.3,F9_III,2.44 ± 0.04,17.3 ± 0.3,2.35 ± 0.01,3.751 ± 0.009,2.431 ± 0.040,-0.73,,,0.82,G0_III,2.38 ± 0.03,17.5 ± 0.4,2.33 ± 0.02,3.747 ± 0.009,2.428 ± 0.042,± 0.09,
